,type_kt,type_rt,type_ok,elevator,energy_class,neighborhood,price,price_per_square_meter,number_of_rooms,rooms,square_meters,year,condition,floor_num,top_floor,bottom_floor,floor_frac,lat,lng
279,1,0,0,1,F,Kallio,208000,7172,1, h + kk,29.0,1932,2,3.0,False,False,0.5,60.18428689999999,24.9492728
280,1,0,0,0,,Kallio,224000,7593,1,"h,avok,alkovi,...",29.5,1963,2,4.0,False,False,0.5,60.18428689999999,24.9492728
281,1,0,0,1,F,Kruununhaka,280000,9333,1,"h, avok, kph, wc",30.0,1912,2,5.0,True,False,1.0,60.1721106,24.9579177
282,1,0,0,0,D2007,Etelä-haaga,168000,5250,1,h+kk+alkovi,32.0,1957,1,1.0,False,False,0.3333333333333333,60.21249009999999,24.8983908
283,1,0,0,0,G,Punavuori,290000,7733,1,"h, k, kph/wc, ...",37.5,1912,2,3.0,False,False,0.6,60.1617225,24.9364126
284,1,0,0,1,F,Kallio,159000,7571,1,h+kk,21.0,1932,2,3.0,False,False,0.42857142857142855,60.18428689999999,24.9492728
285,1,0,0,1,D2007,Hermanni,180000,6207,1,"h, kk, ransk.p...",29.0,1958,2,3.0,False,False,0.75,60.1950971,24.9667755
286,1,0,0,1,E2007,Vuosaari,129000,4300,1, h+kk+parv,30.0,1971,1,3.0,False,False,0.6,60.2087898,25.1437314
287,1,0,0,1,,Kamppi,308000,7897,1,"h, alkovi, kk,...",39.0,1929,1,2.0,False,False,0.3333333333333333,60.16745770000001,24.9310748
288,1,0,0,1,E2007,Punavuori,272500,6899,1,"h, avo.k, kph",39.5,1931,2,1.0,False,False,0.2,60.1617225,24.9364126
289,1,0,0,1,,Lauttasaari,170000,8947,1,"h, kk",19.0,1939,1,3.0,False,False,0.42857142857142855,60.1573302,24.8772531
290,1,0,0,0,,Kallio,80000,4000,1,h+kph+avok.+parvi,20.0,1913,1,1.0,False,False,0.16666666666666666,60.18428689999999,24.9492728
291,1,0,0,0,B,Kaisaniemi,210000,8077,1,"h, kk",26.0,1908,2,1.0,False,False,0.3333333333333333,60.1754208,24.9452852
292,1,0,0,1,C,Herttoniemi,227800,6800,1,"h, kt, alkovi,...",33.5,2017,2,8.0,True,False,1.0,60.19473499999999,25.0326173
293,1,0,0,0,,Kallio,255067,5545,1,"-2h, avokeitti...",46.0,1937,2,3.0,False,False,0.5,60.18428689999999,24.9492728
294,1,0,0,1,E2007,Rastila,117000,3900,1, h+kk+p,30.0,1972,0,6.0,False,False,0.75,60.2069511,25.1240828
295,1,0,0,0,E,Lauttasaari,200000,6667,1,h+kk+kph,30.0,1968,-1,3.0,True,False,1.0,60.1573302,24.8772531
296,1,0,0,1,D2007,Koskela,115000,3770,1,"h, ikkunalline...",30.5,1972,1,3.0,False,False,0.6,60.2182623,24.966279
297,1,0,0,1,,Taka-töölö,210000,5526,1,"h, avokeitti...",38.0,1930,1,4.0,False,False,0.6666666666666666,60.1816434,24.9181181
298,1,0,0,0,F,Ullanlinna,440000,8713,1, h+k,50.5,1908,1,2.0,False,False,0.5,60.1584139,24.9490399
299,1,0,0,0,,Kamppi,227500,9479,1,h+avok+kph,24.0,1873,2,2.0,False,False,0.6666666666666666,60.16745770000001,24.9310748
300,1,0,0,0,E2007,Kumpula,169000,5633,1,h+kk+kph,30.0,1939,2,1.0,False,False,0.5,60.2091078,24.9647355
301,1,0,0,1,F,Taka-töölö,250000,7813,1,"h, kk, kph, vh...",32.0,1967,2,4.0,False,False,0.5714285714285714,60.1816434,24.9181181
302,1,0,0,0,D2007,Keski-Töölö,298000,7268,1,"tudio, avokeit...",41.0,1936,2,1.0,False,False,0.14285714285714285,60.1833369,24.9224802
303,1,0,0,0,,Vallila,237000,5576,1,"h, k ja alkovi",42.5,1926,2,2.0,False,False,0.5,60.19443539999999,24.9570247
304,1,0,0,1,E2013,Lauttasaari,160000,5818,1,h + alkovi + kk,27.5,1963,1,4.0,True,False,1.0,60.1573302,24.8772531
305,1,0,0,0,D,Mellunmäki,107000,3567,1, h+kk,30.0,1972,1,2.0,False,False,0.6666666666666666,60.2372171,25.1140828
306,1,0,0,1,D,Kallio,175000,8333,1,h+avok+kph,21.0,1932,2,2.0,False,False,0.2857142857142857,60.18428689999999,24.9492728
