|condition|elevator|energy_class|floor|housetype|neighborhood|price|price_per_square_meter|number_of_rooms|rooms|square_meters|year
64|hyvä|on|E2007|2/8|kt|Sörnäinen|245500|6138|1|h, avok|40,00|1938
65|hyvä|ei||2/5|kt|Lauttasaari|340000|7391|1|h+kt+s|46,00|2014
66|tyyd.|on|E2007|5/8|kt|Pohjois-Meilahti|185000|8810|1|h, avok, kph|21,00|1949
67|tyyd.|ei||3/3|kt|Eira|295000|9833|1|uone, alkovi, ...|30,00|1922
68|tyyd.|ei|E2007|3/3|kt|Vallila|177000|5710|1|h, avok., et, ...|31,00|1931
69|hyvä|on|D2007|4/6|kt|Hermanni|208000|6603|1|h+alk.+kk+kh|31,50|1954
70|hyvä|ei|F|3/3|kt|Käpylä|174000|5194|1|h+kk|33,50|1985
71|hyvä|ei||2/5|kt|Lassila|255000|6456|1|h+kt = avo-/tu...|39,50|2016
72|tyyd.|on|D|1/4|kt|Puotila|132000|3220|1| h +kk+alk+kph...|41,00|1963
73|tyyd.|on|D2007|1/4|kt|Hermanni|149000|7450|1| h, avokeitti&...|20,00|1958
74|hyvä|on|D2007|6/6|kt|Hermanni|185000|8605|1|h, alk., kk, w...|21,50|1954
75|tyyd.|ei|C2007|4/4|kt|Käpylä|229000|5452|1| huone + keitt...|42,00|1926
76|hyvä|ei|E2007|1/5|kt|Munkkisaari|174000|6214|1|h, k|28,00|1932
77|hyvä|on|D2007|4/4|kt|Kannelmäki|166500|5741|1|h, kk, lasitet...|29,00|1964
78|tyyd.|on|G2007|3/7|kt|Kallio|168000|5600|1|h,k,alk,kh|30,00|1962
79|hyvä|on||2/3|kt|Kallio|221000|6906|1|h, alkovi, kk,...|32,00|1938
80|hyvä|ei|F2007|1/4|kt|Etelä-haaga|163100|7586|1|h, kk|21,50|1964
81|hyvä|on|E|2/4|kt|Lauttasaari|199000|7107|1|h, kk|28,00|1960
82|hyvä|ei||1/1|rt|Konala|122600|3831|1|h+alkovi+k+kph|32,00|1975
83|hyvä|on|G|8/8|kt|Pihlajamäki|115000|3333|1|h+kk+parveke|34,50|1964
84|hyvä|ei||2/3|kt|Etelä-haaga|198000|5500|1|h+kk+kph|36,00|1955
85|hyvä|ei|E2007|1/3|kt|Hermanni|211000|5553|1|h, k, vh ja kph|38,00|1960
86|hyvä|on||3/5|kt|Vallila|225000|5921|1|h, kph, avokei...|38,00|1928
87|hyvä|ei|G|4/5|kt|Punavuori|302000|7844|1|h, k|38,50|1912
88|hyvä|ei|D2007|1/6|kt|Etu-Töölö|325000|5845|1|h, k|55,60|1925
89|tyyd.|on|D2007|1/6|kt|Munkkiniemi|137000|6227|1| h, kk|22,00|1938
90|tyyd.|on|G|2/6|kt|Kallio|205000|7885|1|h+kk|26,00|1961
91|tyyd.|on|F2007|3/7|kt|Sörnäinen|224000|5463|1|h+k+kph|41,00|1929
92|tyyd.|on|E2007|1/6|kt|Keski-Töölö|250000|5682|1|h, k, alkovi|44,00|1938
93|hyvä|ei||2/2|kt|Herttoniemi|121000|6050|1|h+avok.+ kh|20,00|1957
94|hyvä|on|E|6/6|kt|Taka-töölö|192000|7680|1|h, kk+alkovi|25,00|1939
95|hyvä|ei|F|2/4|kt|Torkkelinmäki|282000|6130|1|tudio (1h+avok...|46,00|1930
96|tyyd.|ei|E2007|3/3|kt|Käpylä|390000|4727|1|h+kk+khwc+p+sp|82,50|1952
97|tyyd.|on||4/5|kt|Lauttasaari|184000|7077|1|h, k, kph|26,00|1939
98|hyvä|on||3/7|kt|Ruoholahti|258500|6229|1|-2 h+KK+S|41,50|1996
99|hyvä|on|F2014|2/6|kt|Keski-Töölö|215000|8600|1|h, kk, kph, vh|25,00|1937
100|tyyd.|ei|F|1/7|kt|Ullanlinna|133000|4433|1|h, ks, wc|30,00|1929
101|tyyd.|ei|E2007|3/4|kt|Käpylä|160000|4848|1| h, kk, kh|33,00|1928
102|huono|on|E2007|7/7|kt|Hakaniemi|155000|7381|1|h+kk|21,00|1938
103|hyvä|on||3/4|kt|Munkkivuori|178000|6846|1|h+kt+kph+alkovi|26,00|1956
104|tyyd.|on||2/5|kt|Lauttasaari|160000|5926|1| h, kk, kph |27,00|1965
105|tyyd.|ei||6/6|kt|Taka-töölö|180000|8000|1|h+keittiö...|22,50|1938
106|tyyd.|ei|D|1/4|kt|Etelä-haaga|135000|4500|1|h, kk, kph, p|30,00|1963
107|hyvä|on|D|2/7|kt|Torkkelinmäki|280000|6087|1| huone ja keit...|46,00|1927
108|hyvä|ei||2/4|kt|Pihlajamäki|135000|2813|1|h+k+parveke|48,00|1985
109|hyvä|ei|F|1/3|kt|Munkkivuori|185000|6852|1|h, kk, kph, p|27,00|1957
110|huono|ei|E2007| |kt|Kallio|94000|5529|1|h, avok|17,00|1913
111|hyvä|ei|E2007|3/3|kt|Maunula|145000|6017|1| h, kk, kh/wc|24,10|1952
112|tyyd.|on||5/7|kt|Sörnäinen|215000|7414|1|h+kk+kph|29,00|1927
114|tyyd.|on||3/3|kt|Munkkivuori|127000|3735|1|h, kk, kph|34,00|1958
115|tyyd.|on|| |kt|Kallio|135000|7500|1|h+kk+kph|18,00|1941
116|hyvä|on|D|3/6|kt|Etu-Töölö|200000|8333|1|h, avok|24,00|1936
117|tyyd.|ei|F2013|4/4|kt|Etelä-haaga|166500|5946|1|h, kk, kph, vh...|28,00|1960
118|tyyd.|ei|E|3/6|kt|Alppiharju|190000|6552|1|h,kk,p,s|29,00|1985
119|hyvä|on|E2007|3/8|kt|Vuosaari|119500|3983|1|h, kk, alkovi ...|30,00|1972
120|huono|on|D2007|2/7|kt|Kallio|148000|5103|1|h,kk,kph|29,00|1928
121|tyyd.|ei|E2007|1/4|kt|Torkkelinmäki|167200|8800|1|h,kk|19,00|1927
122|hyvä|on|D2007|3/6|kt|Alppiharju|209000|8708|1| H|24,00|1929
123|huono|on|F|5/5|kt|Etu-Töölö|241000|9094|1|h+kph|26,50|1912
124|hyvä|on||6/7|kt|Kallio|224400|6800|1|h+kk+kph+vh|33,00|1961
125|hyvä|ei|E|2/2|kt|Tapaninvainio|128000|5818|1|h+k+parvi+var|22,00|2015
126|tyyd.|ei||4/4|kt|Laajasalo|138000|3887|1| h+alk+k+p|35,50|1978
127|tyyd.|ei||2/6|kt|Etu-Töölö|197000|8208|1|h+kph|24,00|1928
128|tyyd.|on||2/4|kt|Munkkiniemi|215000|7096|1|h + avok + kph...|30,30|1956
129|hyvä|ei|F|3/3|kt|Laajasalo|140000|4118|1|h, kk, kph, vh...|34,00|1972
130|tyyd.|on|D2007|1/8|kt|Pihlajamäki|104000|3014|1|h, alkovi, k, ...|34,50|1964
131|tyyd.|on|G|2/5|kt|Kamppi|165000|8049|1|h, avok, kph|20,50|1926
132|tyyd.|on|E|4/5|kt|Kamppi|190000|7308|1| h, kk, kph, l...|26,00|1981
133|tyyd.|ei|E2007|3/4|kt|Etelä-haaga|176000|6175|1|h, kk, kph, al...|28,50|1960
134|hyvä|on|F2007|4/4|kt|Lehtisaari|199000|5497|1|h, k, kph, las...|36,20|1967
135|hyvä|on||1/7|kt|Lauttasaari|155000|7949|1|h, kk|19,50|1939
136|huono|on|| |kt|Sörnäinen|187000|6233|1|h, kk, kph, er...|30,00|1928
137|tyyd.|ei||4/5|kt|Mellunmäki|116000|3362|1|h,k,kph,las.pa...|34,50|1971
138|hyvä|on||3/7|kt|Sörnäinen|250000|5556|1|h, avok, kph j...|45,00|1928
139|tyyd.|ei|E2007|3/3|kt|Etelä-haaga|195000|6500|1|h, avokeitti...|30,00|1932
140|tyyd.|ei|E|4/4|kt|Ullanlinna|262000|8506|1|h, k, kph|30,80|1927
141|tyyd.|on|E2007|1/4|kt|Etu-Töölö|240152|7624|1|h, kk, kph|31,50|1933
142|hyvä|ei|E|1/3|kt|Yliskylä|169000|5045|1| h, kk, kph, v...|33,50|1974
143|hyvä|ei||1/4|kt|Vallila|250000|5814|1| h makuualkoov...|43,00|1926
144|huono|ei||4/5|kt|Kallio|168000|9385|1|h, avok, kph|17,90|1907
145|hyvä|on||2/5|kt|Punavuori|206000|7491|1|h, avok, wc, s...|27,50|1938
146|tyyd.|on|D|6/6|kt|Etu-Töölö|292000|6083|1|h+k|48,00|1928
147|hyvä|ei||3/5|kt|Ullanlinna|395000|7054|1|h, alkovi, k, ...|56,00|1907
148|tyyd.|ei|E2007|5/6|kt|Kallio|100000|4000|1|h, kk, kph, parvi|25,00|1913
149|hyvä|ei|E|1/3|kt|Tapanila|127000|4379|1|h, avok, kph, ...|29,00|1919
150|hyvä|ei|E2007|1/3|kt|Kannelmäki|134500|3736|1| h, k, kph, piha|36,00|1977
151|huono|on|E2007|5/6|kt|Punavuori|189764|6325|1|h+kk|30,00|1961
152|tyyd.|ei|F|1/3|kt|Malmi|142000|4176|1|h+kk|34,00|1984
153|hyvä|ei|E2007|-1/2|kt|Kumpula|232000|5524|1|h, makuutila, ...|42,00|1939
154|hyvä|ei|F|5/5|kt|Kallio|177655|8460|1|h,avok|21,00|1909
155|hyvä|on||6/6|kt|Kallio|201000|8933|1|h, avok, kph, ...|22,50|1912
156|tyyd.|ei|F|3/4|kt|Toukola|175000|6783|1|h, kk, kh ja p...|25,80|1954
157|hyvä|on||4/7|kt|Harju|163000|7762|1|h+avok.+kph|21,00|1932
158|huono|ei|E|4/5|kt|Etu-Töölö|375000|6303|1|h+k|59,50|1911
159|hyvä|on|G|5/6|kt|Taka-töölö|183000|9632|1|h, kk, kph|19,00|1936
160|hyvä|ei||1/4|kt|Torkkelinmäki|181468|6980|1|h,avok,kph|26,00|1927
161|huono|on|E|2/5|kt|Ullanlinna|200000|6452|1|h,kk,kph|31,00|1935
162|hyvä|on||7/7|kt|Lauttasaari|172842|9343|1|h, kk, kph|18,50|1939
163|tyyd.|ei|E2007|5/6|kt|Kallio|93000|4537|1|h, kk|20,50|1913
164|tyyd.|on|F|1/3|kt|Lauttasaari|165200|6007|1|h, kk, kph, pa...|27,50|1972
