|condition|elevator|energy_class|floor|housetype|neighborhood|price|price_per_square_meter|number_of_rooms|rooms|square_meters|year
694|tyyd.|ei|E2007|3/3|kt|Etelä-haaga|185000|3627|2| h+kk|51,00|1964
695|hyvä|on|D2007|3/7|kt|Pukinmäki|237000|4647|2|h, k, kph, s, ...|51,00|2009
696|huono|on|F|1/8|kt|Kallio|275000|5093|2|h+kk+kph+parve...|54,00|1959
697|hyvä|ei|F2014|3/4|kt|Punavuori|445000|8180|2|h, k, kph|54,40|1906
698|hyvä|on|B2007|1/5|kt|Aurinkolahti|250000|4348|2|h, kk, kph/sau...|57,50|2012
699|huono|ei||1/4|kt|Vallila|196000|3267|2|h+k|60,00|1925
700|hyvä|ei|F|4/4|kt|Kruununhaka|550000|5641|2|h, k, kph, s|97,50|1911
701|hyvä|ei||4/4|kt|Käpylä|196000|5158|2|h, kk|38,00|1944
702|tyyd.|ei|F2013|2/4|kt|Hermanni|199000|4682|2|h+kk+kph+p|42,50|1957
703|hyvä|on||3/4|kt|Herttoniemi|245000|5000|2|h, avok., kph/...|49,00|2012
704|hyvä|on|A2007|5/6|kt|Lauttasaari|492500|9949|2|h,avokeitti...|49,50|2015
705|tyyd.|ei|F|1/4|kt|Pihlajamäki|124000|2255|2|h+kk+kph+vh+la...|55,00|1963
706|tyyd.|on||3/4|kt|Maunula|155000|2743|2|h, k|56,50|1963
707|hyvä|ei|G|1/5|kt|Punavuori|357000|5667|2|h, avokeitti...|63,00|1909
708|huono|ei|C|4/6|kt|Keski-Töölö|373000|5485|2|h, k|68,00|1926
709|tyyd.|on||5/6|kt|Munkkiniemi|225000|5357|2| h+kk+kph|42,00|1938
710|tyyd.|ei|E2007|2/3|kt|Etelä-haaga|235000|5465|2|h, k, kph, par...|43,00|1961
711|hyvä|on|F|1/6|kt|Taka-töölö|287500|5693|1|h, avokeitti...|50,50|1926
712|hyvä|on|D|8/8|kt|Pasila|280000|5234|2|h, k, kph, s, ...|53,50|2004
713|hyvä|ei|E2007|1/3|kt|Etelä-haaga|230000|5412|2|h, kk, kph, la...|42,50|1962
714|tyyd.|ei|E2007|3/4|kt|Hermanni|261000|5495|2|h, k, kph ja vh|47,50|1960
715|hyvä|on|F2013|1/8|kt|Vuosaari|139000|2648|2|h, kk|52,50|1965
716|hyvä|on|E|1/6|kt|Kallio|287000|5315|2|h+k+mh+vh+kph+...|54,00|1966
717|hyvä|on|F2015|2/6|kt|Punavuori|405000|7364|2|h, avok, kph, s|55,00|1951
718|tyyd.|on|F|6/9|kt|Pihlajisto|130000|2261|2|h, k, kph, wc, p|57,50|1974
719|tyyd.|on|F2007|6/7|kt|Kallio|235000|6438|2| h+kk|36,50|1936
720|tyyd.|on|E2007|5/8|kt|Rastila|155000|2719|2|h, k, kph, par...|57,00|1972
721|hyvä|ei|F2007|4/8|kt|Kallio|270000|5870|2|h+kk|46,00|1962
722|tyyd.|ei||3/4|kt|Vallila|198000|5425|2|h+kk+kph|36,50|1939
723|hyvä|ei|F2007|1/3|kt|Etelä-haaga|225000|5114|2|h+kk+kh|44,00|1961
724|hyvä|on|G|7/8|kt|Kamppi|361500|7230|2|h+k+kph+halli|50,00|1929
725|hyvä|on||2/4|kt|Viikki|255000|4951|2|h, avok, s, la...|51,50|2011
726|hyvä|ei|D|2/4|kt|Maunula|208001|3649|2|h, k, parveke|57,00|1963
727|hyvä|ei|F|4/4|kt|Roihuvuori|175000|3889|2|h+kk|45,00|1959
728|hyvä|ei|F2013|-1/3|kt|Keski-Töölö|336500|6471|2| h, k|52,00|1945
729|hyvä|ei|E|1/2|rt|Vuosaari|232000|3245|2|h+k+wc+s/ph+pu...|71,50|1989
730|hyvä|on||2/6|kt|Kallio|275000|4955|2|h, k, kph, las...|55,50|1973
731|hyvä|on||5/6|kt|Etu-Töölö|485000|7132|2|h, avok, s|68,00|1928
732|hyvä|on|D2007|3/6|kt|Keski-Töölö|282000|5423|2|h, avok, kh|52,00|1938
733|tyyd.|on|C2007|6/7|kt|Vallila|265000|4862|2|h, kk|54,50|1968
734|hyvä|on||4/5|kt|Malminkartano|162000|2746|2|h, rt, k, kph,...|59,00|1987
735|hyvä|ei||4/5|kt|Kannelmäki|197000|3582|2|h,k,kph,lasite...|55,00|2003
736|tyyd.|ei|D2007|1/3|kt|Kannelmäki|174000|3515|2|h, k, kph|49,50|1959
737|tyyd.|on|E|5/8|kt|Näkinpuisto|299000|5025|2| h+k+s+p|59,50|1985
738|tyyd.|on|D2007|2/6|kt|Hermanni|200000|4598|2|h+kk+kh|43,50|1954
739|hyvä|on|F2016|6/6|kt|Punavuori|386000|8301|2|h, avok, kph|46,50|1931
740|hyvä|ei||2/4|kt|Munkkiniemi|326339|6943|2|h+k+kp+vh|47,00|1954
741|hyvä|on|F|5/6|kt|Etu-Töölö|508000|6195|3|h+k|82,00|1926
742|hyvä|on||5/8|kt|Lintulahti|275000|7051|2|h+avok+s|39,00|1939
743|tyyd.|on|D2007|1/6|kt|Hermanni|225000|5696|2|h+kk+kh|39,50|1954
744|hyvä|ei|F2007|3/3|kt|Etelä-haaga|257000|5411|2|h, kk, kph, la...|47,50|1962
745|hyvä|on|D2007|2/6|kt|Hermanni|260000|5474|2|h, kk, kh, 2 k...|47,50|1954
746|tyyd.|ei|F2013|1/2|kt|Oulunkylä|175000|3608|2|h, kk, kph, pa...|48,50|1978
747|tyyd.|ei||3/4|kt|Lauttasaari|259900|5096|2| h, k, kph, pa...|51,00|1945
748|tyyd.|ei|E2007|2/8|kt|Pohjois-Meilahti|271000|5314|2|h, k, kph, p|51,00|1950
749|tyyd.|on||3/4|kt|Pukinmäki|179000|3410|2|h+k+ kph+s+las...|52,50|1985
750|hyvä|ei|E2017|1/1|rt|Tapaninvainio|250000|4545|2|h, avok, kph +...|55,00|1989
751| |on|G|1/6|kt|Kamppi|331000|5911|2|h,kph,wc|56,00|1924
752|tyyd.|ei|F2007|3/4|kt|Myllypuro|176000|2909|2|-3h, k, parveke|60,50|1964
753|tyyd.|ei|G2013|2/3|kt|Pohjois-haaga|212000|4874|2|h, kk, kph, vh|43,50|1957
754|huono|ei|F2007|2/3|kt|Etelä-haaga|202000|4489|2| h + kk + kph + p|45,00|1957
755|hyvä|on|A2007|2/5|kt|Länsi-pasila|305000|6703|2|h,kt,kph,s,las...|45,50|2013
756|tyyd.|ei|E2007|2/2|kt|Kumpula|255000|5543|2|h, avok, kh|46,00|1939
757|huono|ei|F|2/3|kt|Kannelmäki|110000|2200|2| h, k, p|50,00|1962
758|hyvä|on|| |kt|Vuosaari|157000|3091|2|h, k, kph-wc, ...|50,80|1964
759|hyvä|on|D2007|2/6|kt|Keski-Töölö|280000|5385|2|h, avok, kh|52,00|1938
760|hyvä|ei||2/2|kt|Lauttasaari|282500|4871|2|h, k, vh, kh, ...|58,00|1968
761|huono|on|D2007|4/8|kt|Merihaka|260000|4333|2| h+k|60,00|1980
762|hyvä|on|D|6/8|kt|Pihlajamäki|145500|2205|2|h+k+kph+vh+las...|66,00|1964
763|hyvä|on|C2013|5/6|kt|Käpylä|418320|8996|2|h, kt, s, parveke|46,50|2017
764|hyvä|on||7/8|kt|Puotinharju|174500|3598|2|h, k, kph, las...|48,50|1963
765|tyyd.|on|E|6/7|kt|Taka-töölö|336000|6857|2| h, avok., kh|49,00|1952
766|hyvä|ei|E2007|3/3|kt|Etelä-haaga|212000|4157|2|h, k, kph, par...|51,00|1964
767|hyvä|ei||2/8|kt|Puotinharju|165000|3204|2|h, k, kph, par...|51,50|1963
768|hyvä|ei||2/8|kt|Pitäjänmäki|198391|3743|2|-3h, k|53,00|1973
769|hyvä|ei|E2007|3/4|kt|Etelä-haaga|264801|4886|2|h, avokeitti...|54,20|1954
770|hyvä|on||5/8|kt|Harju|307000|5633|2|h, k, s, p|54,50|2000
771|tyyd.|ei||2/2|kt|Malmi|130000|2301|2|h+k+s|56,50|1968
772|hyvä|on|D|2/3|kt|Tapanila|290000|4603|1|-2 h + kk|63,00|2008
773|hyvä|ei||3/6|kt|Munkkiniemi|341000|6434|2|h+k |53,00|1957
774|tyyd.|on|G|5/5|kt|Kruununhaka|314000|8722|2|h, k, kph (ull...|36,00|1889
775|tyyd.|on||3/5|kt|Punavuori|295000|7763|2|h+kk+kph|38,00|1960
776|hyvä|on||3/5|kt|Punavuori|425000|10625|2| h, avok, kph|40,00|1907
777|hyvä|ei|F2012|1/3|kt|Eira|456000|9500|2|h, k, kph, s|48,00|1913
778|tyyd.|ei|G2007|1/3|kt|Kannelmäki|135000|2755|2|h, k, kph, p|49,00|1962
779|hyvä|ei|F|3/3|kt|Maunula|219000|4212|2| h, avokeitti&...|52,00|1957
780|tyyd.|on||2/6|kt|Koskela|150000|2727|2|h+k+kph+las.pa...|55,00|1973
781|tyyd.|on||6/7|kt|Harju|315000|5172|2|h, avokeitti...|60,90|1927
782|tyyd.|ei|D|2/2|kt|Suutarila|144000|2215|2| h + k|65,00|1983
783|tyyd.|ei|F2013|1/1|rt|Länsi-pakila|250000|3759|2|h, k, s, vh, u...|66,50|1982
784|hyvä|on||3/4|kt|Pohjois-Meilahti|285000|7125|2|h,ikk.kk,vh|40,00|1965
785|tyyd.|on|G|3/6|kt|Kallio|232000|4989|2|h,kk,kh,ransk.p|46,50|1956
786|hyvä|on||7/7|kt|Sörnäinen|304000|5429|2|h, avok, kph|56,00|1927
787|hyvä|ei|D2007|2/3|kt|Mellunmäki|134247|3678|2|h, avok, kph, ...|36,50|1992
788|tyyd.|ei||2/2|kt|Pitäjänmäki|107000|2610|2|h, kk|41,00|1944
789|tyyd.|on|E|6/6|kt|Kallio|260000|6118|2|h, kk, kph/wc,...|42,50|1938
790|hyvä|on||1/4|kt|Lauttasaari|310600|6902|2|h, k, kph, par...|45,00|1958
791|tyyd.|ei||1/2|rt|Käpylä|287000|5979|2|h + keittiö|48,00|1928
792|hyvä|ei|E2007|1/3|kt|Vuosaari|152000|3040|2|h, k, kph, vh ...|50,00|1965
793|hyvä|on|D2007|4/4|kt|Laajasalo|235000|4563|2|h, avok., kph,...|51,50|2002
794|hyvä|on||1/3|kt|Herttoniemi|317000|6155|2|h+k+kph+terass...|51,50|2016
795|hyvä|on|D2007|3/6|kt|Keski-Töölö|288000|6545|2|h, avok, kph, vh|44,00|1939
796|hyvä|on||3/7|kt|Kallio|274000|6062|2|h+kk+kph|45,20|1960
797|tyyd.|ei||4/4|kt|Malmi|142000|2582|2| h, k|55,00|1980
798|hyvä|ei|E|3/4|kt|Pajamäki|225000|3947|2|h,kk,lasitettu...|57,00|1959
799|hyvä|ei||1/1|rt|Oulunkylä|240000|4000|2|h, k, kph, s, ...|60,00|1985
800|hyvä|on|C2007|3/6|kt|Aurinkolahti|259000|4981|2|h,kt, kph, s, ...|52,00|2007
801|hyvä|ei|D2007|3/3|kt|Meri-rastila|134000|2913|2|h+kk|46,00|1992
802|tyyd.|ei|F2007|3/4|kt|Käpylä|205000|4457|2|h+k+khwc+p|46,00|1952
803|hyvä|on|C2013|5/6|kt|Käpylä|403300|8673|2|h, kt, s, parveke|46,50|2017
804|hyvä|on|B2007|1/6|kt|Aurinkolahti|232000|4784|2|h+kk+s+terassi...|48,50|2012
805|tyyd.|ei|F2013|2/4|kt|Roihuvuori|124000|2362|2|h+k|52,50|1955
806|hyvä|on|D|2/5|kt|Herttoniemi|290000|4915|2|h, k, s, vh, l...|59,00|1998
807|hyvä|ei|E2007|3/4|kt|Herttoniemi|240000|4800|2|h, avokeitti...|50,00|1954
808|hyvä|on||4/5|kt|Roihuvuori|216900|4427|2|h, kk|49,00|2017
809|tyyd.|on|D|6/6|kt|Lauttasaari|255000|4474|2| h, k, kph, p|57,00|1976
810|hyvä|on||2/7|kt|Kallio|258000|6217|2|h+avok.+kph|41,50|1929
811|tyyd.|on|E2007|2/5|kt|Mellunmäki|114000|2400|2|h, kk, kph, vh...|47,50|1974
812|hyvä|on|E|4/6|kt|Aurinkolahti|245000|5158|2|h+k+s+parveke|47,50|2006
813|tyyd.|ei|F|3/3|kt|Suurmetsä|130000|2063|2|h+k+s+kph+las.p|63,00|1973
814|hyvä|on|F|1/3|kt|Suurmetsä|137000|2175|2|h, k, p|63,00|1974
815|hyvä|ei|D|3/3|kt|Käpylä|325000|5000|2|h, k, kph, eri...|65,00|1923
816|hyvä|on|F|2/4|kt|Maunula|159000|4609|2| h, kk, kh, p|34,50|1959
817|hyvä|ei||3/3|kt|Pajamäki|231878|4831|2|h,k,kph,parvek...|48,00|1960
818|hyvä|ei|E2007|2/4|kt|Pajamäki|209000|3885|2|h,k,kph,lasite...|53,80|1960
819|hyvä|ei||4/6|kt|Munkkiniemi|280000|5138|1|-2 H, K, KPH, ...|54,50|1938
820|hyvä|ei|G|-1/5|kt|Punavuori|295000|7284|2|h, k, kph, wc,...|40,50|1912
821|hyvä|ei||2/3|kt|Kulosaari|267000|4855|2|h, k, kph, p|55,00|1961
822|hyvä|ei||2/7|kt|Pihlajisto|135000|2673|2|h, k, kph|50,50|1970
823|tyyd.|on||7/8|kt|Kallio|195000|4756|2|h, avok, kph, vh|41,00|1962
824|tyyd.|on|E2007|1/6|kt|Munkkivuori|230000|4600|2| h, k, kh, p|50,00|1959
825|tyyd.|on||5/5|kt|Lauttasaari|240000|4660|2| h, k, kph, p |51,50|1974
826|hyvä|ei|F|1/3|kt|Tapanila|140000|2692|2|h, k, kh, p|52,00|1969
827|hyvä|ei|F|2/3|kt|Vallila|236000|6378|2|h, avokeitti...|37,00|1925
828|tyyd.|ei|E2007|2/3|kt|Taka-töölö|277000|6295|2|h, kk, kh. p|44,00|1941
829|hyvä|on|E|2/7|kt|Kallio|235000|4653|2|h, k, kph, las...|50,50|1966
830|hyvä|ei|F2007|3/3|kt|Etelä-haaga|255000|4904|2|h, avok, kph, ...|52,00|1957
831|tyyd.|ei||3/5|kt|Kamppi, bulevardi|431000|8132|2|h,k|53,00|1903
832|tyyd.|on|G|7/8|kt|Niemenmäki|194000|3633|2|h, k, kph, las...|53,40|1962
833|hyvä|on|E2015|4/4|kt|Etu-Töölö|472000|6841|2|h+k+kph+s+wc+vh|69,00|1932
834|hyvä|on||2/4|kt|Lauttasaari|385500|5354|2|-3h, avok, kph...|72,00|1953
835|hyvä|on|F|5/7|kt|Vanhankaupunginkoski|328000|5467|2|h, k, s|60,00|2005
836|tyyd.|on|F|3/8|kt|Pihlajamäki|88500|3612|1|h, kk, kph|24,50|1962
837|hyvä|ei|G|1/3|kt|Kannelmäki|164000|4152|2|h,k,parveke|39,50|1962
838|hyvä|ei||4/7|kt|Kannelmäki|225000|5114|2|h,kk,s,lasitet...|44,00|2005
839|tyyd.|on||4/8|kt|Kontula|93600|1991|2|h+k+kph|47,00|1967
840|tyyd.|on|F|2/5|kt|Lauttasaari|279000|5874|2|h, kk, kph, pa...|47,50|1954
841|hyvä|ei|E|3/3|kt|Vesala|130000|2653|2|h, kk|49,00|1991
842|hyvä|ei||1/7|kt|Kannelmäki|245000|4900|2|h,avok,kph,s,l...|50,00|2005
843|tyyd.|on|E2007|6/6|kt|Munkkiniemi|291500|5262|2| h, k, kph, p|55,40|1956
844|hyvä|ei|E|3/4|kt|Pajamäki|216500|3873|2|h, k, kph, vh,...|55,90|1960
845|hyvä|on|B2007|3/6|kt|Aurinkolahti|254700|4430|2| h, kk, kph, s...|57,50|2012
846|hyvä|on|F2007|2/6|kt|Kruununhaka|450000|7143|2|h, k, kph|63,00|1910
847|huono|on||7/8|kt|Pohjois-Meilahti|215000|6143|2|h, kk, kph|35,00|1946
848|tyyd.|on||4/6|kt|Hermanni|260000|4483|2|h, k, kph, las...|58,00|1954
849|hyvä|on|E2007|1/5|kt|Itäkeskus|155000|2541|2|h+k+kph+p|61,00|1979
850|tyyd.|on|E2013|3/7|kt|Hakaniemi|380000|4872|2|h, k, halli, k...|78,00|1938
851|hyvä|on|C|5/7|kt|Herttoniemi|230000|5897|2|h, avokeitti...|39,00|2017
852|hyvä|ei|E2007|3/4|kt|Alppila|245000|5444|2|h+avok+kph|45,00|1930
853|tyyd.|ei|D2007|3/6|kt|Pohjois-haaga|151500|3223|2|h, kk, vh, kph...|47,00|1972
854|hyvä|on|C|2/5|kt|Laajasalo|201000|5025|2|h+kt+p|40,00|2017
855|tyyd.|on|F2007|11/14|kt|Merihaka|249000|6000|2|h, kk, eteinen...|41,50|1974
856|hyvä|on|F|2/6|kt|Punavuori|292000|6952|2|h+k+kph|42,00|1957
857|hyvä|ei||1/2|rt|Konala|210000|4242|2|h, kk, s, piha|49,50|1988
858|hyvä|ei|D2007|3/4|kt|Malmi|162000|3146|2|h,kk,p|51,50|1980
859|hyvä|ei|E|3/3|kt|Vuosaari|163000|3105|2|h, avok, kph, et|52,50|1965
860|hyvä|on||3/4|kt|Konala|207000|3730|2| h, avok, s, l...|55,50|1993
861|hyvä|on||4/5|kt|Viikki|266000|4626|2|h, k, rt, kph/...|57,50|2008
862|tyyd.|on|G|5/5|kt|Lauttasaari|244000|6595|2|h, kk, p|37,00|1939
863|hyvä|on||3/7|kt|Munkkisaari|380000|7917|2|h, avok, kph, ...|48,00|2012
864|hyvä|on|D|3/6|kt|Aurinkolahti|290000|5179|2|h+kk+s|56,00|2011
865|hyvä|ei||4/4|kt|Munkkivuori|279000|4938|2| H+K|56,50|1958
866|hyvä|on||5/6|kt|Vuosaari|179000|3060|2|h, k, s|58,50|1993
867|hyvä|on|G|3/4|kt|Kamppi|335100|7979|2|h, alkovi, kk,...|42,00|1929
868|tyyd.|ei|D2007|3/3|kt|Konala|137000|2740|2|h,k,kph,vh, la...|50,00|1964
869|hyvä|ei||1/4|kt|Tapaninvainio|164000|3280|2|h, k, kph/s, wc|50,00|1982
870|hyvä|on||2/6|kt|Viikki|238000|4713|2|h, avok, kph, ...|50,50|2004
871|hyvä|on||6/6|kt|Kallio|295000|7195|2|h+kk+kh|41,00|1961
872|hyvä|ei||3/4|kt|Ruskeasuo|298000|7268|2|h,kk, lasitett...|41,00|1996
873|hyvä|ei|F2007|3/3|kt|Etelä-haaga|220000|5000|2|h, avokeitti...|44,00|1961
874|hyvä|ei|G|3/3|kt|Etelä-haaga|242000|4654|1|-2h, avok., kp...|52,00|1960
875|hyvä|on||1/8|kt|Kontula|105000|1765|2|h, k, kodinhoi...|59,50|1967
876|tyyd.|on|F|2/8|kt|Länsi-pasila|255000|4215|2| h, k, s, eril...|60,50|1983
877|hyvä|ei|F|2/3|kt|Ruskeasuo|335000|5421|2|-3 h, k ,p|61,80|1952
878|hyvä|ei|E2007|3/3|kt|Etelä-haaga|197000|5970|2|h, avok, kph, ...|33,00|1960
879|tyyd.|ei|F|2/3|kt|Tapulikaupunki|142000|2367|2| h + k + kp + p|60,00|1991
880|tyyd.|on|E|4/5|kt|Vuosaari|139000|2837|2|h+k+kph+p|49,00|1973
881|tyyd.|ei|E|2/4|kt|Hermanni|248000|4863|2|h, keittiö...|51,00|1959
882|hyvä|on||3/6|kt|Kallio|320000|5981|2|h+avok.+kph|53,50|1914
883|hyvä|ei|F2007|2/3|kt|Vuosaari|157000|2907|2|h, k, kph, vh,...|54,00|1965
884|hyvä|on|E2007|6/8|kt|Vuosaari|156000|2737|2|h, k, kh, lasi...|57,00|1972
885|tyyd.|on|F|2/7|kt|Lauttasaari|262000|4331|2|h, k, kph, vh,...|60,50|1974
886|hyvä|on|G|3/7|kt|Kallio|286409|6819|2|h, k, kph|42,00|1928
887|tyyd.|ei||4/8|kt|Niemenmäki|212132|3973|2|h,k,kph,lasite...|53,40|1962
888|hyvä|on|G|3/4|kt|Kamppi|379000|7019|2|h, k, kph|54,00|1906
889|hyvä|ei|F|2/4|kt|Lauttasaari|255000|6538|2|h, kk, kph, pa...|39,00|1960
890|tyyd.|ei|E2007|1/2|kt|Pukinmäki|170000|2906|2|h, k, rt, kph,...|58,50|1990
891|hyvä|on||3/6|kt|Ullanlinna|422000|7153|2|h, avok, kph|59,00|1928
892|hyvä|ei|E|3/4|kt|Lauttasaari|216000|5684|2|h, kk, kph, pa...|38,00|1960
893|tyyd.|ei|D2007|1/3|kt|Ruskeasuo|270000|5477|2| h, k, kph, pa...|49,30|1951
894|hyvä|on||2/4|kt|Kannelmäki|150000|3030|2|h, avokeitti...|49,50|1978
895|hyvä|on|C2007|3/6|kt|Katajanokka|327000|6288|2|h+avok+vh+s+p|52,00|2008
896|hyvä|on|G|7/9|kt|Kontula|129000|2434|2|h, kk, kph, la...|53,00|1970
897|hyvä|on|F|1/5|kt|Pukinmäki|165000|2845|2|h+k|58,00|1976
898|tyyd.|on|D2007|1/3|kt|Kannelmäki|138995|2504|2| h, k, kph, p|55,50|1973
899|tyyd.|on|E2007|2/3|kt|Vuosaari|143000|3109|2|h, k, kph, las...|46,00|1965
900|hyvä|on|D2007|1/4|kt|Lauttasaari|255000|4811|2|h+k+kh|53,00|1956
901|hyvä|ei|E2007|3/3|kt|Puotinharju|155000|3605|2|h, kk, kph, vh...|43,00|1962
902|hyvä|on||4/5|kt|Roihuvuori|216900|4427|2|h, kk|49,00|2017
903|tyyd.|on||3/3|kt|Oulunkylä|181000|3042|2|h, k, s|59,50|1990
904|hyvä|ei||1/1|rt|Vuosaari|229000|3849|2| h, k, kph, s,...|59,50|1993
905|tyyd.|on|D2007|2/8|kt|Vuosaari|151000|2127|2|h, k|71,00|1966
906|tyyd.|on||1/4|kt|Kannelmäki|201000|4467|2|h, avok, kph, ...|45,00|2013
907|tyyd.|on||2/4|kt|Munkkiniemi|302000|6711|2|h, k, kph, par...|45,00|1959
908|tyyd.|on|F2007|10/14|kt|Merihaka|250000|5319|2|h+alk+kk+kh+vh+p|47,00|1974
909|hyvä|on|F|4/7|kt|Vuosaari|190000|4000|2| h + k + kph +...|47,50|2000
910|hyvä|ei|F|2/2|kt|Tapaninkylä|147000|3063|2|h, kk, kph, p|48,00|1985
911|tyyd.|ei||2/3|kt|Konala|124000|2480|2|h, k, vh, kph-...|50,00|1964
912|hyvä|on|D|5/7|kt|Tali|282000|5640|2|h+k+terassipar...|50,00|2012
913|tyyd.|on|F2007|3/5|kt|Vuosaari|155000|3051|2| h+k+kph+parveke|50,80|1964
914|hyvä|on||1/5|kt|Rastila|198000|3808|2|h, kk, s, las....|52,00|2001
915|hyvä|ei||1/3|kt|Ullanlinna|498000|9138|2|h, k, kph, vh|54,50|1906
916|hyvä|on|E2007|2/4|kt|Munkkivuori|250000|4440|2|h, avokeitti...|56,30|1957
917|hyvä|on|E2007|7/9|kt|Punavuori|465000|7045|2|h+kt+s|66,00|2001
918|hyvä|ei|G|2/5|kt|Kruununhaka|391000|8319|2| h, avokeitti&...|47,00|1889
919|tyyd.|on|E2007|5/9|kt|Lauttasaari|229000|4821|2|h, kk, p|47,50|1972
920|hyvä|on|C|2/7|kt|Malmi|226000|4431|2|h, kk, alkovi, s|51,00|2011
921|hyvä|ei||1/1|rt|Vanhakaupunki|320000|6154|2|h, keittiö...|52,00|1899
922|tyyd.|on|F|5/6|kt|Ullanlinna|364900|7017|2|h, k, kh, vh, ...|52,00|1973
923|tyyd.|on|D2007|1/4|kt|Vuosaari|187000|3117|2|h, k, kh/s, wc...|60,00|2002
924|tyyd.|ei|E|3/3|kt|Vallila|189000|4725|1|h+k|40,00|1925
925|hyvä|ei|E2007|3/3|kt|Meri-rastila|168000|3733|2|h, kt, kph, la...|45,00|1991
926|tyyd.|ei|E|1/3|kt|Pohjois-haaga|200000|4255|2|h, k|47,00|1953
927|hyvä|ei|F|2/2|kt|Lauttasaari|243000|5116|2|h, kk, p|47,50|1965
928|hyvä|on|E2013|3/7|kt|Viikki|268000|5583|2|h, kk, s|48,00|2006
929|tyyd.|ei|E2007|2/3|kt|Vuosaari|148000|2931|2|h, k, kph, par...|50,50|1965
930|hyvä|on|D2007|3/6|kt|Etu-Töölö|397000|7709|2|h, kt, vh, kph...|51,50|1926
931|tyyd.|ei|E2007|3/3|kt|Käpylä|284000|5259|2|h, k, kph/wc, ...|54,00|1952
932|hyvä|on||4/6|kt|Torkkelinmäki|342000|6333|2|h+k|54,00|1937
933|hyvä|on|D2007|4/4|kt|Kivikko|196000|3136|2|h, k, s|62,50|2001
934|hyvä|on|F|5/7|kt|Etu-Töölö|520000|6176|2|h, k, kph, eri...|84,20|1926
935|hyvä|ei|G|3/4|kt|Etelä-haaga|223000|5868|2|h, kk, kph, vh...|38,00|1959
936|hyvä|on|D2007|6/6|kt|Keski-Töölö|320000|8205|2|h, k, kph|39,00|1932
937|tyyd.|ei||4/6|kt|Punavuori|261104|5739|2|h, avokeitti...|45,50|1961
938|huono|on|F|2/8|kt|Vuosaari|128000|2510|2| h+ kk+ vh+ kp...|51,00|1965
939|tyyd.|on||3/5|kt|Pitäjänmäki|177000|3404|2|h, k, kph, vh,...|52,00|1988
940|tyyd.|on|E2007|4/7|kt|Hernesaari|325000|6019|2|h, kk, kph|54,00|1928
941|hyvä|ei||2/3|kt|Puotila|166800|2979|2|h, k|56,00|1961
942|hyvä|on||3/5|kt|Ullanlinna|482000|7415|2|h, avok, rt, kph|65,00|1937
943|hyvä|on|B2007|6/7|kt|Jätkäsaari|540000|8308|2|h+kt+s|65,00|2015
944|hyvä|on|D2007|6/6|kt|Keski-Töölö|300000|5769|2|h, avok, kh|52,00|1938
945|huono|ei|E|3/4|kt|Taka-töölö|279500|7167|2|h, k|39,00|1940
946|hyvä|ei|E|3/3|kt|Roihuvuori|175000|3889|2|h, k, kph, par...|45,00|1956
947|hyvä|ei|D|1/2|kt|Malmi|224000|4073|2|h, kk, alkovi,...|55,00|2011
948|tyyd.|ei|F2007|1/2|rt|Torpparinmäki|227000|3982|2|h+kt+s|57,00|2001
949|hyvä|ei|F|1/2|rt|Kumpula|265000|4569|1| h + k|58,00|1936
950|tyyd.|on||5/7|kt|Kallio|277000|4776|2| h+kk|58,00|1928
951|tyyd.|on|F2007|4/7|kt|Vuosaari|155000|2627|2|h+k|59,00|1967
952|hyvä|ei|F2007|1/2|rt|Malminkartano|179000|2797|1|h + oh/tk|64,00|1984
953|tyyd.|on|G|2/6|kt|Kruununhaka|270000|6995|2|h, avok, kph|38,60|1926
954|hyvä|on|G|3/6|kt|Herttoniemi|235000|5663|2|h, avok, kph, ...|41,50|2007
955|tyyd.|on||7/7|kt|Sörnäinen|292000|6871|2|h, kk, kph|42,50|1933
956|hyvä|ei|F|1/3|kt|Laajasalo|140000|2887|2|h, k, kph, las...|48,50|1972
957|hyvä|on||6/6|kt|Roihuvuori|230900|4712|2|h, kt|49,00|2017
958|hyvä|on||2/5|kt|Punavuori|370000|7400|2|h, avok, kph, ...|50,00|1930
959|tyyd.|on|G2007|3/3|kt|Etelä-haaga|207200|3909|2| h, k, kh, vh, p|53,00|1970
960|tyyd.|ei|F|4/4|kt|Myllypuro|110000|2056|2|h, k, kh, vh, ...|53,50|1965
961|hyvä|on||5/7|kt|Herttoniemi|291000|5243|2|h+kt+s|55,50|2010
962|hyvä|ei|E|1/2|kt|Savela|221000|3593|2|h,avokeitti...|61,50|1985
963|hyvä|on|E2007|1/6|kt|Munkkiniemi|330000|5323|2| h, k, kh|62,00|1941
964|tyyd.|ei||3/6|kt|Sörnäinen|235000|5465|2|h, kk, kph|43,00|1938
965|hyvä|on|G|1/8|kt|Kontula|113000|2404|2|h, kk, kph|47,00|1968
966|hyvä|on|F|2/5|kt|Lauttasaari|290000|6105|2|h,kph,k,parveke|47,50|1954
967|hyvä|ei|E2007|1/4|kt|Alppila|235000|4896|2|h, k, kph, wc|48,00|1938
968|tyyd.|on|G|2/7|kt|Kallio|228000|4471|2|h+keittiö...|51,00|1962
969|tyyd.|on||5/7|kt|Hakaniemi|310000|5496|2|h+kk+kph|56,40|1940
